MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,SCH_OP_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
8,1,8/7/2023 12:00:00 AM,AA,,MQ,3402,ORD,SYR,1910,2158,2240.0,42.0,0.0,0.0,N,108.0,607.0,0.0,0.0,39.0,0.0
8,1,8/7/2023 12:00:00 AM,AA,,MQ,3854,ORD,SYR,815,1110,1045.0,-25.0,0.0,0.0,N,115.0,607.0,,,,0.0
8,1,8/7/2023 12:00:00 AM,AA,,MQ,3949,ORD,SYR,1315,1605,1640.0,35.0,0.0,0.0,N,110.0,607.0,0.0,0.0,0.0,0.0
8,1,8/7/2023 12:00:00 AM,B6,,B6,2516,JFK,SYR,2140,2303,212.0,189.0,0.0,0.0,N,83.0,209.0,0.0,0.0,119.0,0.0
8,1,8/7/2023 12:00:00 AM,B6,,B6,656,MCO,SYR,1646,1932,2316.0,224.0,0.0,0.0,N,166.0,1053.0,0.0,130.0,94.0,0.0
8,1,8/7/2023 12:00:00 AM,DL,,9E,5118,JFK,SYR,1429,1603,1540.0,-23.0,0.0,0.0,N,94.0,209.0,,,,0.0
8,1,8/7/2023 12:00:00 AM,DL,,9E,5464,JFK,SYR,2250,25,,,1.0,0.0,N,95.0,209.0,,,,0.0
8,1,8/7/2023 12:00:00 AM,UA,,OO,5574,ORD,SYR,711,1004,1013.0,9.0,0.0,0.0,N,113.0,607.0,,,,0.0
8,1,8/7/2023 12:00:00 AM,UA,,UA,210,ORD,SYR,1820,2114,2109.0,-5.0,0.0,0.0,N,114.0,607.0,,,,0.0
8,1,8/7/2023 12:00:00 AM,UA,,UA,2637,ORD,SYR,1400,1651,1643.0,-8.0,0.0,0.0,N,111.0,607.0,,,,0.0
8,1,8/14/2023 12:00:00 AM,AA,,MQ,3402,ORD,SYR,1910,2158,2335.0,97.0,0.0,0.0,N,108.0,607.0,84.0,13.0,0.0,0.0
8,1,8/14/2023 12:00:00 AM,AA,,MQ,3854,ORD,SYR,815,1110,1054.0,-16.0,0.0,0.0,N,115.0,607.0,,,,0.0
8,1,8/14/2023 12:00:00 AM,AA,,MQ,3949,ORD,SYR,1315,1605,1628.0,23.0,0.0,0.0,N,110.0,607.0,0.0,23.0,0.0,0.0
8,1,8/14/2023 12:00:00 AM,B6,,B6,2516,JFK,SYR,2140,2303,134.0,151.0,0.0,0.0,N,83.0,209.0,0.0,0.0,141.0,0.0
8,1,8/14/2023 12:00:00 AM,B6,,B6,656,MCO,SYR,1646,1932,1943.0,11.0,0.0,0.0,N,166.0,1053.0,,,,0.0
8,1,8/14/2023 12:00:00 AM,DL,,9E,5118,JFK,SYR,1429,1603,1556.0,-7.0,0.0,0.0,N,94.0,209.0,,,,0.0
8,1,8/14/2023 12:00:00 AM,DL,,9E,5464,JFK,SYR,2250,25,9.0,-16.0,0.0,0.0,N,95.0,209.0,,,,0.0
8,1,8/14/2023 12:00:00 AM,UA,,OO,5574,ORD,SYR,711,1004,953.0,-11.0,0.0,0.0,N,113.0,607.0,,,,0.0
8,1,8/14/2023 12:00:00 AM,UA,,UA,210,ORD,SYR,1820,2114,,,1.0,0.0,N,114.0,607.0,,,,0.0
8,1,8/14/2023 12:00:00 AM,UA,,UA,2637,ORD,SYR,1400,1651,1844.0,113.0,0.0,0.0,N,111.0,607.0,0.0,0.0,113.0,0.0
8,1,8/21/2023 12:00:00 AM,AA,,MQ,3324,ORD,SYR,2025,2321,2301.0,-20.0,0.0,0.0,N,116.0,607.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,AA,,MQ,3854,ORD,SYR,815,1107,1050.0,-17.0,0.0,0.0,N,112.0,607.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,AA,,MQ,4203,ORD,SYR,1319,1611,1609.0,-2.0,0.0,0.0,N,112.0,607.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,B6,,B6,2516,JFK,SYR,2140,2303,2252.0,-11.0,0.0,0.0,N,83.0,209.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,B6,,B6,656,MCO,SYR,1646,1932,1917.0,-15.0,0.0,0.0,N,166.0,1053.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,DL,,9E,5118,JFK,SYR,1429,1603,1534.0,-29.0,0.0,0.0,N,94.0,209.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,DL,,9E,5464,JFK,SYR,2250,25,16.0,-9.0,0.0,0.0,N,95.0,209.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,UA,,OO,5574,ORD,SYR,711,1004,1017.0,13.0,0.0,0.0,N,113.0,607.0,,,,0.0
8,1,8/21/2023 12:00:00 AM,UA,,UA,210,ORD,SYR,1820,2114,2141.0,27.0,0.0,0.0,N,114.0,607.0,0.0,1.0,0.0,0.0
8,1,8/21/2023 12:00:00 AM,UA,,UA,2637,ORD,SYR,1400,1651,1651.0,0.0,0.0,0.0,N,111.0,607.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,AA,,MQ,3324,ORD,SYR,2025,2321,2306.0,-15.0,0.0,0.0,N,116.0,607.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,AA,,MQ,3854,ORD,SYR,815,1107,1045.0,-22.0,0.0,0.0,N,112.0,607.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,AA,,MQ,4203,ORD,SYR,1319,1611,1607.0,-4.0,0.0,0.0,N,112.0,607.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,B6,,B6,2516,JFK,SYR,2140,2303,2313.0,10.0,0.0,0.0,N,83.0,209.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,B6,,B6,656,MCO,SYR,1646,1932,1907.0,-25.0,0.0,0.0,N,166.0,1053.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,DL,,9E,5118,JFK,SYR,1429,1603,1551.0,-12.0,0.0,0.0,N,94.0,209.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,DL,,9E,5464,JFK,SYR,2250,25,40.0,15.0,0.0,0.0,N,95.0,209.0,0.0,15.0,0.0,0.0
8,1,8/28/2023 12:00:00 AM,UA,,OO,5574,ORD,SYR,711,1004,1138.0,94.0,0.0,0.0,N,113.0,607.0,0.0,0.0,0.0,0.0
8,1,8/28/2023 12:00:00 AM,UA,,UA,210,ORD,SYR,1820,2114,2058.0,-16.0,0.0,0.0,N,114.0,607.0,,,,0.0
8,1,8/28/2023 12:00:00 AM,UA,,UA,2637,ORD,SYR,1400,1651,1638.0,-13.0,0.0,0.0,N,111.0,607.0,,,,0.0
