MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,1,1/2/23 0:00,AA,3392,MQ,3392,ORD,SYR,1733,2019,2012.0,-7.0,0,0,N,106.0,607,,,,0.0
1,1,1/2/23 0:00,AA,3518,MQ,3518,ORD,SYR,1305,1602,1556.0,-6.0,0,0,N,117.0,607,,,,0.0
1,1,1/2/23 0:00,B6,116,B6,116,JFK,SYR,1335,1448,1652.0,124.0,0,0,N,73.0,209,0.0,2.0,10.0,0.0
1,1,1/2/23 0:00,B6,2516,B6,2516,JFK,SYR,2230,2341,223.0,162.0,0,0,N,71.0,209,0.0,2.0,46.0,0.0
1,1,1/2/23 0:00,B6,656,B6,656,MCO,SYR,1545,1828,1936.0,68.0,0,0,N,163.0,1053,0.0,10.0,47.0,0.0
1,1,1/2/23 0:00,DL,5190,9E,5190,JFK,SYR,2110,2241,2246.0,5.0,0,0,N,91.0,209,,,,0.0
1,1,1/2/23 0:00,UA,1998,UA,1998,ORD,SYR,1814,2107,2046.0,-21.0,0,0,N,113.0,607,,,,0.0
1,1,1/2/23 0:00,UA,3819,ZW,3819,ORD,SYR,1330,1627,1642.0,15.0,0,0,N,117.0,607,0.0,0.0,9.0,0.0
1,1,1/9/23 0:00,AA,3392,MQ,3392,ORD,SYR,1733,2019,2040.0,21.0,0,0,N,106.0,607,0.0,0.0,0.0,0.0
1,1,1/9/23 0:00,AA,3518,MQ,3518,ORD,SYR,1305,1602,1605.0,3.0,0,0,N,117.0,607,,,,0.0
1,1,1/9/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1433.0,4.0,0,0,N,73.0,209,,,,0.0
1,1,1/9/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2256.0,-11.0,0,0,N,72.0,209,,,,0.0
1,1,1/9/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1850.0,-9.0,0,0,N,161.0,1053,,,,0.0
1,1,1/9/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,2336.0,-18.0,0,0,N,84.0,209,,,,0.0
1,1,1/9/23 0:00,DL,5224,9E,5224,JFK,SYR,1630,1755,1822.0,27.0,0,0,N,85.0,209,0.0,0.0,1.0,0.0
1,1,1/9/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1048.0,-27.0,0,0,N,85.0,209,,,,0.0
1,1,1/9/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2101.0,-16.0,0,0,N,113.0,607,,,,0.0
1,1,1/9/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1631.0,-8.0,0,0,N,111.0,607,,,,0.0
1,1,1/16/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,1937.0,-1.0,0,0,N,113.0,607,,,,0.0
1,1,1/16/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1503.0,34.0,0,0,N,73.0,209,0.0,4.0,0.0,0.0
1,1,1/16/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2328.0,21.0,0,0,N,72.0,209,0.0,21.0,0.0,0.0
1,1,1/16/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1912.0,13.0,0,0,N,161.0,1053,,,,0.0
1,1,1/16/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,2350.0,-4.0,0,0,N,84.0,209,,,,0.0
1,1,1/16/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1825.0,24.0,0,0,N,86.0,209,0.0,9.0,6.0,0.0
1,1,1/16/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1106.0,-9.0,0,0,N,85.0,209,,,,0.0
1,1,1/16/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2134.0,17.0,0,0,N,113.0,607,0.0,17.0,0.0,0.0
1,1,1/16/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1623.0,-16.0,0,0,N,111.0,607,,,,0.0
1,1,1/23/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,1937.0,-1.0,0,0,N,113.0,607,,,,0.0
1,1,1/23/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1416.0,-13.0,0,0,N,73.0,209,,,,0.0
1,1,1/23/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2311.0,4.0,0,0,N,72.0,209,,,,0.0
1,1,1/23/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,2026.0,87.0,0,0,N,161.0,1053,0.0,13.0,61.0,0.0
1,1,1/23/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,24.0,30.0,0,0,N,84.0,209,0.0,0.0,4.0,0.0
1,1,1/23/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1814.0,13.0,0,0,N,86.0,209,,,,0.0
1,1,1/23/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1126.0,11.0,0,0,N,85.0,209,,,,0.0
1,1,1/23/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2114.0,-3.0,0,0,N,113.0,607,,,,0.0
1,1,1/23/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1650.0,11.0,0,0,N,111.0,607,,,,0.0
1,1,1/30/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,1923.0,-15.0,0,0,N,113.0,607,,,,0.0
1,1,1/30/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1412.0,-17.0,0,0,N,73.0,209,,,,0.0
1,1,1/30/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2358.0,51.0,0,0,N,72.0,209,0.0,0.0,0.0,0.0
1,1,1/30/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1850.0,-9.0,0,0,N,161.0,1053,,,,0.0
1,1,1/30/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,2344.0,-10.0,0,0,N,84.0,209,,,,0.0
1,1,1/30/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1857.0,56.0,0,0,N,86.0,209,0.0,0.0,21.0,0.0
1,1,1/30/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1101.0,-14.0,0,0,N,85.0,209,,,,0.0
1,1,1/30/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2121.0,4.0,0,0,N,113.0,607,,,,0.0
1,1,1/30/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1659.0,20.0,0,0,N,111.0,607,0.0,0.0,0.0,0.0
1,2,1/3/23 0:00,AA,3392,MQ,3392,ORD,SYR,1733,2019,2057.0,38.0,0,0,N,106.0,607,0.0,7.0,12.0,0.0
1,2,1/3/23 0:00,AA,3518,MQ,3518,ORD,SYR,1305,1602,1549.0,-13.0,0,0,N,117.0,607,,,,0.0
1,2,1/3/23 0:00,B6,116,B6,116,JFK,SYR,1320,1433,2043.0,370.0,0,0,N,73.0,209,0.0,0.0,339.0,0.0
1,2,1/3/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2255.0,-12.0,0,0,N,72.0,209,,,,0.0
1,2,1/3/23 0:00,B6,656,B6,656,MCO,SYR,1620,1904,2149.0,165.0,0,0,N,164.0,1053,0.0,0.0,0.0,0.0
1,2,1/3/23 0:00,DL,5190,9E,5190,JFK,SYR,2110,2241,2223.0,-18.0,0,0,N,91.0,209,,,,0.0
1,2,1/3/23 0:00,UA,1998,UA,1998,ORD,SYR,1814,2107,2104.0,-3.0,0,0,N,113.0,607,,,,0.0
1,2,1/3/23 0:00,UA,3819,ZW,3819,ORD,SYR,1330,1627,1613.0,-14.0,0,0,N,117.0,607,,,,0.0
1,2,1/10/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,1925.0,-13.0,0,0,N,113.0,607,,,,0.0
1,2,1/10/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1424.0,-5.0,0,0,N,73.0,209,,,,0.0
1,2,1/10/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2300.0,-7.0,0,0,N,72.0,209,,,,0.0
1,2,1/10/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1846.0,-13.0,0,0,N,161.0,1053,,,,0.0
1,2,1/10/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,2357.0,3.0,0,0,N,84.0,209,,,,0.0
1,2,1/10/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1750.0,-11.0,0,0,N,86.0,209,,,,0.0
1,2,1/10/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1107.0,-8.0,0,0,N,85.0,209,,,,0.0
1,2,1/10/23 0:00,UA,1036,UA,1036,ORD,SYR,1845,2138,2124.0,-14.0,0,0,N,113.0,607,,,,0.0
1,2,1/10/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2105.0,-12.0,0,0,N,113.0,607,,,,0.0
1,2,1/10/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1633.0,-6.0,0,0,N,111.0,607,,,,0.0
1,2,1/17/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,1922.0,-16.0,0,0,N,113.0,607,,,,0.0
1,2,1/17/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1414.0,-15.0,0,0,N,73.0,209,,,,0.0
1,2,1/17/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2253.0,-14.0,0,0,N,72.0,209,,,,0.0
1,2,1/17/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,2336.0,-18.0,0,0,N,84.0,209,,,,0.0
1,2,1/17/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1950.0,109.0,0,0,N,86.0,209,0.0,0.0,20.0,0.0
1,2,1/17/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1157.0,42.0,0,0,N,85.0,209,0.0,21.0,9.0,0.0
1,2,1/17/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2122.0,5.0,0,0,N,113.0,607,,,,0.0
1,2,1/17/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1625.0,-14.0,0,0,N,111.0,607,,,,0.0
1,2,1/24/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,1922.0,-16.0,0,0,N,113.0,607,,,,0.0
1,2,1/24/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1421.0,-8.0,0,0,N,73.0,209,,,,0.0
1,2,1/24/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2321.0,14.0,0,0,N,72.0,209,,,,0.0
1,2,1/24/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,12.0,18.0,0,0,N,84.0,209,0.0,18.0,0.0,0.0
1,2,1/24/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1800.0,-1.0,0,0,N,86.0,209,,,,0.0
1,2,1/24/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1101.0,-14.0,0,0,N,85.0,209,,,,0.0
1,2,1/24/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2104.0,-13.0,0,0,N,113.0,607,,,,0.0
1,2,1/24/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1621.0,-18.0,0,0,N,111.0,607,,,,0.0
1,2,1/31/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,2338.0,240.0,0,0,N,113.0,607,0.0,0.0,178.0,0.0
1,2,1/31/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1501.0,32.0,0,0,N,73.0,209,0.0,13.0,0.0,0.0
1,2,1/31/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2311.0,4.0,0,0,N,72.0,209,,,,0.0
1,2,1/31/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,5.0,11.0,0,0,N,84.0,209,,,,0.0
1,2,1/31/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1808.0,7.0,0,0,N,86.0,209,,,,0.0
1,2,1/31/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1151.0,36.0,0,0,N,85.0,209,0.0,36.0,0.0,0.0
1,2,1/31/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2052.0,-25.0,0,0,N,113.0,607,,,,0.0
1,2,1/31/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1613.0,-26.0,0,0,N,111.0,607,,,,0.0
1,3,1/4/23 0:00,AA,3392,MQ,3392,ORD,SYR,1733,2019,2029.0,10.0,0,0,N,106.0,607,,,,0.0
1,3,1/4/23 0:00,AA,3518,MQ,3518,ORD,SYR,1305,1602,1606.0,4.0,0,0,N,117.0,607,,,,0.0
1,3,1/4/23 0:00,B6,116,B6,116,JFK,SYR,1320,1433,1517.0,44.0,0,0,N,73.0,209,0.0,0.0,11.0,0.0
1,3,1/4/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2306.0,-1.0,0,0,N,72.0,209,,,,0.0
1,3,1/4/23 0:00,B6,656,B6,656,MCO,SYR,1620,1901,1920.0,19.0,0,0,N,161.0,1053,0.0,0.0,12.0,0.0
1,3,1/4/23 0:00,DL,5190,9E,5190,JFK,SYR,2110,2241,2229.0,-12.0,0,0,N,91.0,209,,,,0.0
1,3,1/4/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2131.0,14.0,0,0,N,113.0,607,,,,0.0
1,3,1/4/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1620.0,-19.0,0,0,N,111.0,607,,,,0.0
1,3,1/11/23 0:00,AA,4771,YX,4771,ORD,SYR,1645,1938,2011.0,33.0,0,0,N,113.0,607,0.0,0.0,33.0,0.0
1,3,1/11/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1430.0,1.0,0,0,N,73.0,209,,,,0.0
1,3,1/11/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,2259.0,-8.0,0,0,N,72.0,209,,,,0.0
1,3,1/11/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1842.0,-17.0,0,0,N,161.0,1053,,,,0.0
1,3,1/11/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,39.0,45.0,0,0,N,84.0,209,0.0,0.0,37.0,0.0
1,3,1/11/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,2007.0,126.0,0,0,N,86.0,209,0.0,0.0,110.0,0.0
