DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_JOIN,DEST_WTH_JOIN,ORGIN_WTH_name,ORGIN_WTH_datetime,ORGIN_WTH_temp,ORGIN_WTH_feelslike,ORGIN_WTH_dew,ORGIN_WTH_humidity,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_preciptype,ORGIN_WTH_snow,ORGIN_WTH_snowdepth,ORGIN_WTH_windgust,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_sealevelpressure,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_solarradiation,ORGIN_WTH_solarenergy,ORGIN_WTH_uvindex,ORGIN_WTH_severerisk,ORGIN_WTH_conditions,ORGIN_WTH_icon,ORGIN_WTH_stations,DEST_WTH_name,DEST_WTH_datetime,DEST_WTH_temp,DEST_WTH_feelslike,DEST_WTH_dew,DEST_WTH_humidity,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_preciptype,DEST_WTH_snow,DEST_WTH_snowdepth,DEST_WTH_windgust,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_sealevelpressure,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_solarradiation,DEST_WTH_solarenergy,DEST_WTH_uvindex,DEST_WTH_severerisk,DEST_WTH_conditions,DEST_WTH_icon,DEST_WTH_stations
1,AA,MQ,4134,ORD,SYR,1257.0,-19.0,0,0,N,607,,,,0,,2022-01-03 10:25:00,2022-01-03 13:16:00,2022-01-03 10:00:00ORD,2022-01-03 13:00:00SYR,ORD,2022-01-03 10:00:00,14.1,3.3,3.3,61.41,0.0,0,,0.0,2.5,,7.8,226.0,1030.3,0.0,9.9,135,0.5,1,,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-03 13:00:00,17.8,8.5,6.2,59.66,0.0,0,,0.0,0.13,,6.9,309.0,1025.2,84.3,9.9,297,1.1,3,,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,AA,MQ,4253,ORD,SYR,2024.0,12.0,0,0,N,607,,,,0,,2022-01-03 17:25:00,2022-01-03 20:12:00,2022-01-03 17:00:00ORD,2022-01-03 20:00:00SYR,ORD,2022-01-03 17:00:00,20.1,9.3,5.0,51.38,0.0,0,,0.0,2.45,,9.6,205.0,1028.2,24.2,9.9,9,0.0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-03 20:00:00,12.7,3.5,6.9,77.32,0.0,0,,0.0,0.1,,5.8,335.0,1027.5,29.6,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,AA,MQ,4316,ORD,SYR,1813.0,-2.0,0,0,N,607,,,,0,,2022-01-03 15:28:00,2022-01-03 18:15:00,2022-01-03 15:00:00ORD,2022-01-03 18:00:00SYR,ORD,2022-01-03 15:00:00,22.7,10.9,3.3,42.51,0.0,0,,0.0,2.46,,12.5,218.0,1028.1,24.2,9.9,218,0.8,2,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-03 18:00:00,15.0,6.3,8.7,75.56,0.0,0,,0.0,0.11,,5.7,292.0,1026.4,47.3,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,UA,G7,4576,ORD,SYR,1722.0,-14.0,0,0,N,607,,,,0,,2022-01-03 14:45:00,2022-01-03 17:36:00,2022-01-03 15:00:00ORD,2022-01-03 18:00:00SYR,ORD,2022-01-03 15:00:00,22.7,10.9,3.3,42.51,0.0,0,,0.0,2.46,,12.5,218.0,1028.1,24.2,9.9,218,0.8,2,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-03 18:00:00,15.0,6.3,8.7,75.56,0.0,0,,0.0,0.11,,5.7,292.0,1026.4,47.3,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,B6,B6,116,JFK,SYR,,,1,0,N,209,,,,0,,2022-01-03 08:29:00,2022-01-03 09:50:00,2022-01-03 08:00:00JFK,2022-01-03 10:00:00SYR,JFK,2022-01-03 08:00:00,31.1,22.1,13.5,47.57,0.0,0,,0.0,0.0,20.2,11.2,10.0,1019.6,46.6,9.9,8,0.0,0,,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732",SYR,2022-01-03 10:00:00,14.9,5.1,8.7,75.92,0.0,0,,0.0,0.13,,6.8,301.0,1027.1,84.3,9.9,103,0.4,1,,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,B6,B6,2516,JFK,SYR,2338.0,39.0,0,0,N,209,0.0,0.0,0.0,0,,2022-01-03 21:45:00,2022-01-03 22:59:00,2022-01-03 22:00:00JFK,2022-01-03 23:00:00SYR,JFK,2022-01-03 22:00:00,24.7,14.9,9.8,52.53,0.0,0,,0.0,0.24,18.3,9.6,345.0,1023.1,7.2,9.9,0,0.0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732",SYR,2022-01-03 23:00:00,11.7,11.7,6.8,80.38,0.0,0,,0.0,0.09,,0.0,0.0,1027.8,94.7,8.8,0,0.0,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,B6,B6,656,MCO,SYR,1546.0,-10.0,0,0,N,1053,,,,0,,2022-01-03 13:13:00,2022-01-03 15:56:00,2022-01-03 13:00:00MCO,2022-01-03 16:00:00SYR,MCO,2022-01-03 13:00:00,65.8,65.8,36.2,33.37,0.0,0,,0.0,0.0,18.3,8.6,299.0,1019.8,2.9,9.9,664,2.4,7,,Clear,clear-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO",SYR,2022-01-03 16:00:00,19.0,6.1,8.0,61.59,0.0,0,,0.0,0.12,,12.7,310.0,1024.9,27.2,9.9,172,0.6,2,,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,DL,9E,5531,JFK,SYR,1424.0,12.0,0,0,N,209,,,,0,,2022-01-03 12:55:00,2022-01-03 14:12:00,2022-01-03 13:00:00JFK,2022-01-03 14:00:00SYR,JFK,2022-01-03 13:00:00,29.3,19.7,7.6,39.4,0.0,0,,0.0,0.91,19.7,11.2,20.0,1016.5,100.0,9.9,64,0.2,1,,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732",SYR,2022-01-03 14:00:00,19.1,11.9,4.0,51.24,0.0,0,,0.0,0.12,,5.0,320.0,1025.1,47.3,9.9,345,1.2,3,,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,UA,OO,5392,ORD,SYR,1445.0,73.0,0,0,N,607,0.0,0.0,0.0,0,,2022-01-03 10:40:00,2022-01-03 13:32:00,2022-01-03 11:00:00ORD,2022-01-03 14:00:00SYR,ORD,2022-01-03 11:00:00,17.8,7.0,3.1,51.92,0.0,0,,0.0,2.5,,8.7,225.0,1029.6,0.0,9.9,286,1.0,3,,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-03 14:00:00,19.1,11.9,4.0,51.24,0.0,0,,0.0,0.12,,5.0,320.0,1025.1,47.3,9.9,345,1.2,3,,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,UA,OO,5412,ORD,SYR,2047.0,-5.0,0,0,N,607,,,,0,,2022-01-03 17:55:00,2022-01-03 20:52:00,2022-01-03 18:00:00ORD,2022-01-03 21:00:00SYR,ORD,2022-01-03 18:00:00,20.0,10.4,6.2,54.43,0.0,0,,0.0,2.44,,7.8,202.0,1027.8,24.2,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK",SYR,2022-01-03 21:00:00,11.8,11.8,6.1,77.44,0.0,0,,0.0,0.1,,0.0,0.0,1027.2,29.6,9.9,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
