name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2023-01-01,54,50,52,54,47.3,51.9,39.7,64.9,0.014,100,12.5,rain,0,0,21.9,12.4,281.2,1012.2,33.8,9.6,96.4,8.4,4,10,2023-01-01T07:20:12,2023-01-01T16:39:10,0.32,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York,2023-01-02,56,47,52.3,56,44.7,51.7,39.6,62.3,0.018,100,8.33,rain,0,0,10.3,7.5,265.2,1019.3,55.7,9.6,43.8,3.6,3,10,2023-01-02T07:20:17,2023-01-02T16:40:01,0.35,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York,2023-01-03,55.5,46.2,51.1,55.5,43.9,50.5,47.6,87.9,0.378,100,29.17,rain,0,0,13.9,7.8,97.9,1014.4,90.4,5.4,16.2,1.5,1,10,2023-01-03T07:20:21,2023-01-03T16:40:53,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2023-01-04,65.7,48.6,57.9,65.7,45.2,57.6,51.5,79.7,0.018,100,16.67,rain,0,0,15,9.5,190.4,1009.9,67.6,8.2,59.1,5.1,3,10,2023-01-04T07:20:22,2023-01-04T16:41:48,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York,2023-01-05,49,44.7,47.3,47.8,39.7,44.6,44.7,90.7,0.018,100,12.5,rain,0,0,9.2,9.5,55.3,1013.4,100,5.9,26.9,2.3,1,10,2023-01-05T07:20:21,2023-01-05T16:42:43,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York,2023-01-06,47.9,40.1,44.3,44.8,34.1,41.1,37.7,78.5,0.266,100,20.83,rain,0,0,23,11.8,323.9,1015.5,93,7.7,31.3,2.8,2,10,2023-01-06T07:20:18,2023-01-06T16:43:40,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2023-01-07,44.1,37.4,40.7,40,31.1,35.4,28.1,60.9,0,0,0,,0,0,23,10.1,287.6,1020.6,43.2,9.9,50.8,4.4,3,10,2023-01-07T07:20:12,2023-01-07T16:44:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2023-01-08,40.7,33.2,37.4,39.8,27.3,33.2,21.5,53,0,0,0,,0,0,17.2,15,292.8,1024.4,18.7,9.9,86.4,7.4,4,10,2023-01-08T07:20:05,2023-01-08T16:45:38,0.56,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
New York,2023-01-09,44.1,37.4,39.9,39.6,32.6,36.2,27.1,61.5,0.005,100,4.17,rain,0,0,20.8,11.5,289.1,1014.2,49.1,9.5,97,8.2,5,10,2023-01-09T07:19:55,2023-01-09T16:46:39,0.59,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2023-01-10,41,38.3,39.7,41,32.3,36.1,24.7,54.7,0,0,0,,0,0,19.5,8.4,301.2,1016.6,87.8,9.8,23.5,1.9,1,10,2023-01-10T07:19:42,2023-01-10T16:47:40,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
